COLLEGE CODE,COLLEGE NAME,SUBJECTCODE,GOPENH/GOPENS RANK,GOPENS CUTOFF MARKS,GSCS RANK,GSCS CUTOFF,GSTS RANK,GSTS CUTOFF
6284,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology Baramati Dist. Pune,628419110,51428,53.8284945,0,0,0,0
6289,B.R.A.C.T's Vishwakarma Institute of Information Technology Kondhwa(Bk.) Pune,628919110,14178,93.2533331,28518,83.8513792,72445,21.2415721
6298,Zeal Education Society's Zeal College of Engineering & Research Narhe Pune,629819110,77452,15.8549568,0,0,0,0
6307,Dhole Patil Education Society Dhole Patil College of Engineering Wagholi Tah. Haveli,630719110,70199,23.4652347,0,0,0,0
6319,Shahajirao Patil Vikas Pratisthan S.B. Patil College of Engineering Vangali Tal. Indapur,631919110,87078,0.2770073,0,0,0,0
6320,K.J.'s Educational Institute's K.J. College of Engineering & Management Research Pisoli,632019110,80753,11.5238661,0,0,0,0
6324,Rajgad Dnyanpeeth's Technical Campus Dhangwadi Bhor,632419110,78636,14.4936558,0,0,0,0
6325,Alard Charitable Trust's Alard College of Engineering and Management Pune,632519110,23543,87.6965303,0,0,0,0
6609,Jaihind College of Engineering Kuran,660919110,86104,2.4155761,0,0,0,0
6620,D.Y. Patil Institute of Engineering and Technology Ambi,62019110,80689,11.6046146,0,0,0,0
6628,Dattakala Group of Institutions Swami-Chincholi Tal. Daund Dist. Pune,662819110,77441,15.8690787,0,0,0,0
6632,Navsahyadri Education Society's Group of Institutions,663219110,85375,3.8690498,0,0,0,0
6634,KJEI's Trinity Academy of Engineering Yewalewadi Pune,663419110,86552,1.4675956,0,0,0,0
6635,Samarth Group of Institutions Bangarwadi Post Belhe Tah. Junnar Dist. Pune,663519110,53775,49.7675311,0,0,0,0
6649,TSSM's Bhivarabai Sawant College of Engineering and Research Narhe Pune,664919110,86534,1.5110477,0,0,0,0
6732,Dr. D.Y. Patil School of Engineering Lohegaon Pune,673219110,58410,41.2527248,0,0,0,0
6755,JSPM Narhe Technical Campus Pune,675519110,86681,1.2065207,0,0,0,0
6759,Shree Ramchandra College of Engineering Lonikand Pune,675919110,68434,25.3630063,0,0,0,0
6768,P.K. Technical Campus Pune,676819110,83588,7.0410550,0,0,0,0
6769,Rasiklal M. Dhariwal Sinhgad Technical Institute Campus Warje Pune,676919110,86401,1.8173852,0,0,0,0
6787,Dr. D.Y. Patil Educational Academy's D.Y. Patil School of Engineering Academy Ambi,678719110,82394,9.0369560,0,0,0,0
6794,Anantrao Pawar College of Engineering & Research Pune,679119110,84687,5.1599400,0,0,0,0
6795,Shri. Someshwar Shikshan Prasarak Mandals Someshwar Engineering College Someshwar Nagar,679519110,81692,10.1511410,0,0,0,0
6796,Bharati Vidyapeeth's College of Engineering Lavale Pune,679619110,59535,39.191646,0,0,0,0
6802,Dr. D.Y. Patil Institute of Enginering Management & Research Akurdi Pune,680219110,46359,62.3031076,0,0,0,0
6822,Pimpri Chinchwad Education Trust's Pimpri Chinchwad College of engineering and Research Ravet,682219110,41752,69.1120558,0,0,0,0
6834,Dr. D.Y. Patil College of Engineering & Innovation Talegaon,683419110,84073,6.2321213,0,0,0,0

